ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): TEXAS

School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 1990-91,Locale [Public School] 1989-90,Locale [Public School] 1988-89,Locale [Public School] 1987-88,Locale [Public School] 1986-87,Total Students All Grades (Excludes AE) [Public School] 1990-91,Total Students All Grades (Excludes AE) [Public School] 1989-90,Total Students All Grades (Excludes AE) [Public School] 1988-89,Total Students All Grades (Excludes AE) [Public School] 1987-88,Total Students All Grades (Excludes AE) [Public School] 1986-87,Free Lunch Eligible [Public School] 1990-91,Free Lunch Eligible [Public School] 1989-90,Free Lunch Eligible [Public School] 1988-89,Free Lunch Eligible [Public School] 1987-88,American Indian/Alaska Native Students [Public School] 1990-91,American Indian/Alaska Native Students [Public School] 1989-90,American Indian/Alaska Native Students [Public School] 1988-89,American Indian/Alaska Native Students [Public School] 1987-88,Asian or Asian/Pacific Islander Students [Public School] 1990-91,Asian or Asian/Pacific Islander Students [Public School] 1989-90,Asian or Asian/Pacific Islander Students [Public School] 1988-89,Asian or Asian/Pacific Islander Students [Public School] 1987-88,Hispanic Students [Public School] 1990-91,Hispanic Students [Public School] 1989-90,Hispanic Students [Public School] 1988-89,Hispanic Students [Public School] 1987-88,Black or African American Students [Public School] 1990-91,Black or African American Students [Public School] 1989-90,Black or African American Students [Public School] 1988-89,Black or African American Students [Public School] 1987-88,White Students [Public School] 1990-91,White Students [Public School] 1989-90,White Students [Public School] 1988-89,White Students [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1990-91,Full-Time Equivalent (FTE) Teachers [Public School] 1989-90,Full-Time Equivalent (FTE) Teachers [Public School] 1988-89,Full-Time Equivalent (FTE) Teachers [Public School] 1987-88,Full-Time Equivalent (FTE) Teachers [Public School] 1986-87
BURNET EL,Texas,483057003434,4830570,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,581,576,492,491,496,–,†,†,†,="0",="0",="0",†,2,2,3,4,226,185,148,135,10,16,15,15,343,373,326,337,30.00,30.00,†,19.00,24.30
BURNET H S,Texas,481222000723,4812220,6-Small town,6-Small town,6-Small town,6-Small town,†,549,547,566,598,555,–,†,†,†,2,2,1,4,1,2,3,5,72,70,65,56,10,8,9,6,464,465,488,527,21.90,37.00,†,40.00,34.20
BURNET MIDDLE,Texas,481222000724,4812220,6-Small town,6-Small town,6-Small town,6-Small town,†,297,319,313,328,363,–,†,†,†,="0",="0",="0",2,="0",="0",1,1,46,54,48,49,3,7,4,5,248,258,260,271,17.50,22.00,†,21.00,18.90
BURNET MIDDLE,Texas,480894000306,4808940,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,956,999,942,1002,666,–,†,†,†,6,2,5,2,22,19,23,33,204,221,186,175,365,397,361,370,359,360,367,422,58.10,58.00,†,58.00,45.80
BURNETT ELEMENTARY,Texas,483432003820,4834320,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,697,755,763,698,776,–,†,†,†,2,1,2,7,104,126,123,121,158,153,162,133,120,142,136,118,313,333,340,319,40.50,40.00,†,34.00,37.90
BURNS EL,Texas,481168005849,4811680,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,1279,1456,1439,1395,1245,–,†,†,†,1,="0",="0",†,2,2,5,7,1403,1400,1365,1339,="0",="0",1,2,53,54,68,47,52.70,78.00,†,60.00,59.70
BURRUS EL,Texas,482364002415,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,569,584,577,613,741,–,†,†,†,="0",="0",="0",†,="0",="0",1,1,60,64,62,73,500,510,505,522,9,10,9,17,36.00,36.00,†,38.00,43.10
BURTON EL,Texas,481224000725,4812240,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,226,223,214,210,211,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,18,18,11,6,55,54,54,58,153,151,149,146,15.80,16.00,†,14.00,13.80
BURTON H S,Texas,481224000726,4812240,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,181,166,161,168,157,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,7,7,5,5,56,49,53,57,118,110,103,106,16.50,16.00,†,18.00,14.00
BURTON HILL EL,Texas,481970001834,4819700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,591,637,676,635,677,–,†,†,†,="0",="0",="0",2,4,9,11,13,65,70,64,44,72,63,95,116,450,495,506,460,33.20,33.00,†,29.00,34.00
BUSH EL,Texas,483057006757,4830570,2-Midsize city,2-Midsize city,†,†,†,331,278,†,†,†,–,†,†,†,="0",="0",†,†,7,7,†,†,33,24,†,†,25,20,†,†,266,227,†,†,14.00,14.00,†,†,†
BUSHLAND EL,Texas,483557005577,4835570,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,337,332,338,343,356,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,43,34,30,32,="0",="0",="0",†,294,298,308,311,24.40,24.00,†,28.00,27.40
BUSSEY MIDDLE,Texas,482034002013,4820340,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,653,501,455,559,553,–,†,†,†,3,6,3,3,16,17,15,18,93,59,55,53,57,40,30,36,484,379,352,449,26.70,27.00,†,30.00,27.80
BUTLER EL,Texas,480870000238,4808700,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,638,624,631,672,669,–,†,†,†,1,="0",="0",†,34,22,21,19,13,7,7,8,21,14,11,12,569,581,592,633,34.70,35.00,†,33.00,30.50
BUTTERFIELD EL,Texas,484650005291,4846500,†,2-Midsize city,2-Midsize city,2-Midsize city,†,†,25,40,47,59,†,†,†,†,†,="0",="0",†,†,="0",="0",†,†,1,1,4,†,="0",2,†,†,24,37,43,†,2.00,†,5.00,5.00
BUTZ EDUCATION CENTER,Texas,482019006110,4820190,†,†,†,†,†,†,†,†,†,109,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,3.60
BUTZ PRIMARY SCHOOL,Texas,482019005722,4820190,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,123,107,85,99,454,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,119,103,79,91,="0",="0",="0",2,4,4,6,6,5.80,6.00,†,5.00,29.50
BYERS EL,Texas,481233000727,4812330,†,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,†,72,78,64,62,†,†,†,†,†,="0",="0",†,†,="0",="0",†,†,4,3,4,†,="0",="0",†,†,68,75,60,†,5.00,†,4.00,5.00
BYERS SCHOOL,Texas,481233000728,4812330,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,117,64,60,64,60,–,†,†,†,="0",="0",="0",†,1,="0",="0",†,13,5,5,2,="0",="0",="0",†,116,59,55,62,12.80,7.00,†,7.00,6.00
BYNUM ELEMENTARY,Texas,481236000729,4812360,†,†,†,†,†,†,†,†,†,59,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,5.60
BYNUM MIDDLE SCHOOL,Texas,481236006228,4812360,†,†,†,†,†,†,†,†,†,33,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,4.50
BYNUM SCHOOL,Texas,481236000730,4812360,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,119,113,120,130,42,–,†,†,†,4,="0",="0",†,="0",="0",="0",†,9,3,4,6,16,23,22,21,107,87,94,103,8.80,9.00,†,11.00,6.00
C A A P COOP,Texas,484626006925,4846260,6-Small town,†,†,†,†,30,†,†,†,†,–,†,†,†,="0",†,†,†,="0",†,†,†,16,†,†,†,1,†,†,†,13,†,†,†,3.00,†,†,†,†
C A P,Texas,480000706813,4800007,6-Small town,†,†,†,†,5,†,†,†,†,–,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,5,†,†,†,10.60,†,†,†,†
C A P                                             ,Texas,483921006908,4839210,7-Rural - outside CBSA/MSA,†,†,†,†,11,†,†,†,†,–,†,†,†,="0",†,†,†,="0",†,†,†,2,†,†,†,="0",†,†,†,9,†,†,†,5.50,†,†,†,†
C A P CO-OP                                       ,Texas,480930006643,4809300,6-Small town,6-Small town,†,†,†,18,14,†,†,†,–,†,†,†,="0",="0",†,†,="0",="0",†,†,7,2,†,†,="0",="0",†,†,11,12,†,†,2.00,†,†,†,†
C A P NOVICE,Texas,483321006892,4833210,7-Rural - outside CBSA/MSA,†,†,†,†,2,†,†,†,†,–,†,†,†,="0",†,†,†,="0",†,†,†,2,†,†,†,="0",†,†,†,="0",†,†,†,7.40,†,†,†,†
C B THOMPSON MIDDLE,Texas,483624004076,4836240,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,620,547,547,617,614,–,†,†,†,1,1,2,1,="0",="0",="0",2,30,33,26,9,4,2,3,2,585,511,516,603,32.40,32.00,†,34.00,32.40
C C HARDY EL,Texas,484590005934,4845900,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,235,223,183,384,376,–,†,†,†,2,="0",="0",†,="0",="0",="0",†,11,11,10,16,24,29,21,47,198,183,152,321,13.00,13.00,†,21.00,18.00
C D FULKES MIDDLE,Texas,483808004255,4838080,6-Small town,6-Small town,6-Small town,6-Small town,†,952,914,901,913,950,–,†,†,†,2,2,4,3,10,7,8,12,192,187,186,200,72,71,58,45,676,647,645,653,59.00,59.00,†,61.00,52.30
C D LANDOLT EL,Texas,481428005424,4814280,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,1047,1037,958,861,811,–,†,†,†,1,1,2,1,72,73,55,58,71,74,55,57,84,74,69,54,819,815,777,691,54.10,54.00,†,42.00,38.00
C E ELLISON H S,Texas,482566002866,4825660,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,2307,2460,2485,2401,2186,–,†,†,†,14,20,21,17,158,146,145,128,332,332,331,314,688,703,660,574,1115,1259,1328,1368,128.60,129.00,†,150.00,105.90
C E KING H S,Texas,483999004534,4839990,1-Large city,1-Large city,1-Large city,1-Large city,†,766,1145,1111,1086,1098,–,†,†,†,="0",="0",="0",†,28,31,24,21,125,109,100,102,236,240,201,156,711,765,786,807,67.40,63.00,†,70.00,67.90
C E KING MIDDLE,Texas,483999004535,4839990,1-Large city,1-Large city,1-Large city,1-Large city,†,606,605,634,463,449,–,†,†,†,2,1,="0",†,7,4,7,3,82,70,81,63,134,120,106,142,381,410,440,255,40.00,40.00,†,29.00,33.50
C E VAIL EL,Texas,482604002929,4826040,6-Small town,6-Small town,6-Small town,6-Small town,†,367,365,326,318,357,–,†,†,†,1,="0",="0",†,="0",="0",="0",†,324,310,276,282,="0",="0",="0",†,42,55,50,36,28.40,18.00,†,17.00,17.00
C F CARR EL,Texas,481623001228,4816230,1-Large city,1-Large city,1-Large city,1-Large city,†,398,405,463,471,525,–,†,†,†,="0",="0",="0",1,="0",="0",="0",†,107,120,146,164,290,284,314,299,1,1,3,7,31.40,31.00,†,30.00,28.00
C G SIVELLS EL,Texas,484538005163,4845380,6-Small town,6-Small town,6-Small town,6-Small town,†,790,762,758,728,710,–,†,†,†,="0",="0",="0",†,2,3,8,7,243,234,220,206,239,223,212,213,306,302,318,302,48.00,48.00,†,46.00,43.70
C J HARRIS EL,Texas,483444003862,4834440,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,474,560,548,693,681,–,†,†,†,="0",="0",="0",†,3,4,3,7,90,82,81,91,16,14,10,10,446,460,454,585,38.40,35.00,†,39.00,34.90
C R CLEMENTS/HOLLIE PARSONS EL,Texas,481524001029,4815240,6-Small town,6-Small town,6-Small town,6-Small town,†,424,886,934,886,821,–,†,†,†,1,11,11,4,24,26,26,23,42,77,97,60,87,180,145,123,270,592,655,676,35.00,50.00,†,43.00,37.40
C S WINN EL                                       ,Texas,484596006189,4845960,1-Large city,1-Large city,1-Large city,1-Large city,†,510,524,519,500,559,–,†,†,†,4,2,="0",†,="0",="0",="0",†,64,63,54,55,403,414,428,398,39,45,37,47,25.40,25.00,†,28.00,22.90
C STAINKE EL,Texas,481739001502,4817390,6-Small town,6-Small town,6-Small town,6-Small town,†,834,774,1020,978,671,–,†,†,†,="0",="0",="0",†,="0",="0",1,†,823,756,991,946,1,1,1,2,10,17,27,30,37.00,37.00,†,34.00,27.40
C W CLINE EL,Texas,481995001950,4819950,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,752,670,680,663,631,–,†,†,†,="0",="0",="0",1,6,5,8,4,17,14,17,12,6,6,9,8,723,645,646,638,33.00,33.00,†,34.00,29.50
C W DAWSON EL,Texas,484538005164,4845380,6-Small town,6-Small town,6-Small town,6-Small town,†,699,648,648,631,638,–,†,†,†,="0",="0",="0",†,2,2,="0",†,206,189,187,183,213,197,196,186,278,260,265,262,43.00,43.00,†,39.00,33.10
CABLE EL,Texas,483312003689,4833120,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,572,572,565,524,537,–,†,†,†,1,1,1,1,6,5,9,10,507,501,481,438,11,11,20,29,47,54,54,46,32.10,32.00,†,38.00,31.30
CACTUS EL,Texas,481761001514,4817610,6-Small town,6-Small town,6-Small town,6-Small town,†,274,258,238,225,212,–,†,†,†,="0",="0",="0",†,="0",="0",5,8,274,256,229,213,="0",="0",="0",†,="0",2,4,4,13.00,13.00,†,13.00,14.50
CACTUS EL,Texas,482724003055,4827240,6-Small town,6-Small town,6-Small town,6-Small town,†,498,543,473,519,521,–,†,†,†,1,="0",="0",†,="0",2,2,2,179,183,144,184,42,52,37,33,276,306,290,300,29.50,29.00,†,25.00,31.20
CADDO MILLS H S,Texas,481239000732,4812390,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,132,199,184,187,188,–,†,†,†,="0",="0",="0",1,1,="0",="0",†,9,8,10,8,12,19,16,19,173,172,158,159,14.60,15.00,†,16.00,14.50
CADDO MILLS MIDDLE,Texas,481239005665,4812390,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,175,177,171,164,143,–,†,†,†,="0",="0",1,†,="0",="0",2,1,2,2,5,3,5,7,6,8,168,168,157,152,10.40,10.00,†,8.00,8.50
CADWALLADER EL,Texas,484668005309,4846680,1-Large city,1-Large city,1-Large city,1-Large city,†,692,789,765,504,539,–,†,†,†,1,3,="0",†,4,="0",1,†,667,767,729,471,1,5,5,4,19,14,30,29,34.50,12.00,†,39.00,35.40
CAGE EL,Texas,482364005999,4823640,1-Large city,1-Large city,1-Large city,1-Large city,†,1015,989,939,872,918,–,†,†,†,="0",="0",="0",†,20,15,7,5,967,939,876,837,14,14,14,6,14,21,42,24,45.50,46.00,†,44.00,47.30
CAIN EL,Texas,484560005182,4845600,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,593,565,555,773,784,–,†,†,†,1,1,1,†,3,="0",2,6,18,13,17,11,68,88,72,75,503,463,463,681,34.50,35.00,†,44.00,42.00
CALALLEN EAST EL,Texas,481242005852,4812420,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,529,541,585,487,441,–,†,†,†,="0",="0",="0",†,1,1,1,1,134,124,170,136,9,13,12,4,385,403,402,346,31.90,32.00,†,28.00,30.90
CALALLEN H S,Texas,481242000734,4812420,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,1170,1126,1131,1076,1084,–,†,†,†,="0",="0",="0",†,2,3,3,2,296,291,287,259,13,12,11,9,859,820,830,806,71.60,72.00,†,72.00,72.90
CALALLEN MIDDLE,Texas,481242000735,4812420,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,1039,995,988,967,940,–,†,†,†,="0",="0",="0",†,3,3,3,2,279,271,264,278,11,13,11,10,746,708,710,677,59.80,60.00,†,58.00,56.80
CALALLEN WOOD RIVER EL,Texas,481242006229,4812420,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,497,481,472,458,435,–,†,†,†,4,4,="0",†,2,="0",="0",†,92,91,86,77,2,6,4,3,397,380,382,378,28.40,28.00,†,25.00,20.90
CALDWELL ARTS ACADEMY,Texas,484347004935,4843470,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,310,315,316,293,291,–,†,†,†,="0",1,="0",1,="0",="0",1,†,19,17,41,33,135,145,129,124,156,152,145,135,20.00,20.00,†,20.00,21.90
CALDWELL EL,Texas,482034002014,4820340,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,382,378,380,382,354,–,†,†,†,8,6,3,5,="0",="0",="0",1,89,77,85,73,71,69,65,73,214,226,227,230,19.30,19.00,†,21.00,20.30
CALDWELL EL,Texas,482985006300,4829850,6-Small town,6-Small town,6-Small town,6-Small town,†,538,573,524,492,481,–,†,†,†,3,="0",1,†,2,5,4,1,149,165,137,140,54,59,52,52,330,344,330,299,26.10,31.00,†,25.00,27.90
CALDWELL EL,Texas,481246000738,4812460,6-Small town,6-Small town,6-Small town,6-Small town,†,451,527,536,533,544,–,†,†,†,="0",="0",="0",†,2,1,1,2,109,100,95,99,106,98,98,89,351,328,342,343,15.10,34.00,†,32.00,27.80
CALDWELL H S,Texas,481246000739,4812460,6-Small town,6-Small town,6-Small town,6-Small town,†,484,463,470,403,450,–,†,†,†,="0",="0",="0",†,="0",1,="0",†,86,76,68,45,71,73,71,68,327,313,331,290,25.60,35.00,†,31.00,27.80
CALDWELL INT                  ,Texas,481246005666,4812460,6-Small town,6-Small town,6-Small town,6-Small town,†,241,232,241,246,269,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,46,37,45,44,35,31,30,35,160,164,166,167,12.90,15.00,†,13.00,12.80
CALDWELL MIDDLE,Texas,481246000740,4812460,6-Small town,6-Small town,6-Small town,6-Small town,†,370,399,415,432,395,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,71,81,69,78,55,54,62,59,244,264,284,295,33.80,26.00,†,26.00,21.00
CALDWOOD EL,Texas,480967004634,4809670,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,457,608,603,611,612,–,†,†,†,1,1,="0",†,8,8,4,4,27,26,21,24,135,194,205,192,290,379,373,391,31.00,31.00,†,29.00,24.90
CALHOUN H S,Texas,481248000741,4812480,6-Small town,6-Small town,6-Small town,6-Small town,†,1047,1077,1127,1217,1197,–,†,†,†,="0",="0",="0",†,47,38,33,28,460,465,471,502,40,38,30,35,500,536,593,652,8.60,71.00,†,49.00,73.90
CALHOUN MIDDLE,Texas,481674001446,4816740,5-Large town,5-Large town,5-Large town,5-Large town,†,1021,1001,971,960,991,–,†,†,†,4,2,1,†,24,19,15,15,132,136,109,100,92,102,88,89,769,742,758,756,65.20,64.00,†,63.00,58.90
CALK EL,Texas,481527001042,4815270,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,570,563,552,560,624,–,†,†,†,5,2,3,2,2,2,4,2,263,295,283,264,17,16,14,17,283,248,248,275,28.20,28.00,†,26.00,25.10
CALK-WILSON EL,Texas,481527001091,4815270,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,118,157,192,1372,252,–,†,†,†,3,4,5,1,1,1,1,22,65,89,112,829,17,15,20,111,32,48,54,409,22.10,22.00,†,34.00,36.50
CALLANDRET SP ED              ,Texas,483879004417,4838790,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,†,8,4,10,16,17,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,7,4,9,14,="0",="0",="0",†,1,="0",1,2,15.00,2.00,†,1.00,1.00
CALLISBURG EL,Texas,481251000753,4812510,6-Small town,6-Small town,6-Small town,6-Small town,†,214,197,175,159,371,–,†,†,†,3,1,="0",†,="0",="0",="0",†,1,="0",1,2,="0",="0",1,†,210,196,173,157,33.60,13.00,†,14.00,14.00
CALLISBURG H S,Texas,481251000754,4812510,6-Small town,6-Small town,6-Small town,6-Small town,†,225,211,238,224,202,–,†,†,†,1,1,="0",†,1,2,="0",†,6,3,3,3,="0",="0",="0",†,217,205,235,221,10.30,17.00,†,24.00,23.20
CALVERT H S,Texas,481254000757,4812540,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,138,146,153,153,147,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,24,17,20,21,95,102,105,113,19,27,28,19,11.70,12.00,†,16.00,14.00
CALVERT SCHOOL,Texas,481254000756,4812540,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,239,231,195,209,200,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,42,44,33,32,163,155,139,151,34,32,23,26,16.40,16.00,†,16.00,12.70
CAMBRIDGE EL,Texas,480759000047,4807590,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,†,817,749,731,688,663,–,†,†,†,="0",1,1,2,1,="0",1,3,218,190,184,185,32,24,27,32,566,534,518,466,49.40,49.00,†,45.00,45.20
CAMELOT EL,Texas,483294003627,4832940,1-Large city,1-Large city,1-Large city,1-Large city,†,512,510,468,453,470,–,†,†,†,="0",="0",="0",†,16,18,13,12,171,185,148,138,112,83,80,71,213,224,227,232,29.80,30.00,†,27.00,23.00
CAMERON DUAL LANGUAGE MAGNET,Texas,481800001573,4818000,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,566,544,703,724,694,–,†,†,†,2,2,2,1,3,2,2,5,353,335,389,381,24,32,37,38,184,173,273,299,34.10,34.00,†,35.00,33.90
CAMERON EL,Texas,481264000758,4812640,6-Small town,6-Small town,6-Small town,6-Small town,†,433,426,433,407,347,–,†,†,†,="0",="0",="0",†,="0",="0",1,1,118,112,100,101,94,92,108,94,221,222,224,211,24.80,25.00,†,22.00,21.00
CAMERON EL,Texas,483873004331,4838730,1-Large city,1-Large city,1-Large city,1-Large city,†,196,181,178,182,178,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,30,16,21,26,164,164,157,152,2,1,="0",4,13.00,13.00,†,16.00,14.00
CAMERON MIDDLE,Texas,481264000760,4812640,6-Small town,6-Small town,6-Small town,6-Small town,†,386,361,328,329,338,–,†,†,†,="0",="0",="0",†,="0",1,2,2,96,84,72,63,83,82,69,91,207,194,185,173,20.50,19.00,†,22.00,23.70
CAMERON YOE H S,Texas,481264000762,4812640,6-Small town,6-Small town,6-Small town,6-Small town,†,400,405,427,443,453,–,†,†,†,="0",="0",="0",†,2,1,2,2,85,79,79,69,96,105,117,118,217,220,229,254,35.70,36.00,†,36.00,31.60
CAMEY EL,Texas,482730003064,4827300,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,483,494,488,501,632,–,†,†,†,="0",1,="0",1,8,13,16,9,38,33,26,11,26,25,23,19,411,422,423,461,24.90,25.00,†,23.00,23.00
CAMINO REAL MIDDLE,Texas,484668006809,4846680,1-Large city,1-Large city,†,†,†,782,504,†,†,†,–,†,†,†,31,23,†,†,3,1,†,†,722,460,†,†,2,="0",†,†,24,20,†,†,36.50,11.00,†,†,†
CAMP TYLER,Texas,484347006793,4843470,†,2-Midsize city,†,†,†,†,="0",†,†,†,†,†,†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,="0",†,†,†,6.00,†,†,†
CAMP TYLER SCHOOL,Texas,484347005607,4843470,†,†,†,†,†,†,†,†,†,="0",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,6.00
CAMPBELL EL,Texas,480894000307,4808940,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,†,293,312,326,335,357,–,†,†,†,="0",="0",="0",†,="0",="0",="0",1,89,96,82,98,201,216,242,236,3,="0",2,†,25.30,25.00,†,32.00,25.90
CAMPBELL EL,Texas,481266000763,4812660,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,173,190,179,166,171,–,†,†,†,="0",1,="0",†,="0",="0",="0",†,5,3,5,1,="0",1,3,†,169,185,171,165,14.40,14.00,†,10.00,12.00
CAMPBELL H S,Texas,481266000764,4812660,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,†,124,140,132,130,129,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,3,3,4,4,3,2,2,1,129,135,126,125,11.20,11.00,†,17.00,9.10
CAMPBELL MIDDLE,Texas,481611001181,4816110,1-Large city,1-Large city,1-Large city,1-Large city,†,1103,1107,1092,1136,1261,–,†,†,†,1,6,8,4,59,69,81,94,174,162,150,141,103,106,107,92,766,764,746,805,72.90,73.00,†,77.00,86.60
CAMPBELLTON EL,Texas,483519003981,4835190,6-Small town,6-Small town,6-Small town,6-Small town,†,40,39,39,35,34,–,†,†,†,="0",="0",="0",†,="0",="0",="0",†,34,30,29,23,="0",="0",="0",†,6,9,10,12,3.00,3.00,†,4.00,3.00
CAMPESTRE EL,Texas,484071005812,4840710,1-Large city,1-Large city,1-Large city,1-Large city,†,805,844,760,746,833,–,†,†,†,="0",="0",="0",†,1,2,2,2,790,824,743,728,2,1,1,†,12,17,14,16,49.50,49.00,†,42.00,35.00
CANADIAN EL,Texas,481270005853,4812700,6-Small town,6-Small town,6-Small town,6-Small town,†,255,285,294,299,303,–,†,†,†,1,2,="0",1,="0",="0",1,1,50,50,47,53,1,1,1,†,205,232,245,244,22.50,22.00,†,20.00,23.00
CANADIAN H S,Texas,481270000766,4812700,6-Small town,6-Small town,6-Small town,6-Small town,†,147,217,212,238,262,–,†,†,†,="0",="0",="0",2,1,1,1,†,27,25,18,15,="0",="0",="0",†,185,191,193,221,22.40,22.00,†,25.00,29.60
CANADIAN MIDDLE,Texas,481270005966,4812700,6-Small town,6-Small town,6-Small town,6-Small town,†,125,122,120,117,100,–,†,†,†,="0",="0",="0",2,="0",="0",="0",1,18,19,13,8,="0",="0",="0",†,107,103,107,106,14.00,14.00,†,10.00,11.00
