Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,County Name [District],Total Number Operational Schools [Public School] 1995-96,Total Number Operational Schools [Public School] 1994-95,Total Number Operational Schools [Public School] 1993-94,Total Number Operational Schools [Public School] 1992-93,Total Number Operational Schools [Public School] 1991-92,Locale [District] 1995-96,Locale [District] 1994-95,Locale [District] 1993-94,Locale [District] 1992-93,Locale [District] 1991-92,School District Level Code (SCHLEV) [District Finance] 1995-96,School District Level Code (SCHLEV) [District Finance] 1994-95,School District Level Code (SCHLEV) [District Finance] 1991-92,Total Students All Grades (Excludes AE) [District] 1995-96,Total Students All Grades (Excludes AE) [District] 1994-95,Total Students All Grades (Excludes AE) [District] 1993-94,Total Students All Grades (Excludes AE) [District] 1992-93,Total Students All Grades (Excludes AE) [District] 1991-92,Individualized Education Program Students [District] 1995-96,Individualized Education Program Students [District] 1994-95,Individualized Education Program Students [District] 1993-94,Individualized Education Program Students [District] 1992-93,Individualized Education Program Students [District] 1991-92,American Indian/Alaska Native Students [Public School] 1995-96,American Indian/Alaska Native Students [Public School] 1994-95,American Indian/Alaska Native Students [Public School] 1993-94,American Indian/Alaska Native Students [Public School] 1992-93,American Indian/Alaska Native Students [Public School] 1991-92,Asian or Asian/Pacific Islander Students [Public School] 1995-96,Asian or Asian/Pacific Islander Students [Public School] 1994-95,Asian or Asian/Pacific Islander Students [Public School] 1993-94,Asian or Asian/Pacific Islander Students [Public School] 1992-93,Asian or Asian/Pacific Islander Students [Public School] 1991-92,Hispanic Students [Public School] 1995-96,Hispanic Students [Public School] 1994-95,Hispanic Students [Public School] 1993-94,Hispanic Students [Public School] 1992-93,Hispanic Students [Public School] 1991-92,Black or African American Students [Public School] 1995-96,Black or African American Students [Public School] 1994-95,Black or African American Students [Public School] 1993-94,Black or African American Students [Public School] 1992-93,Black or African American Students [Public School] 1991-92,White Students [Public School] 1995-96,White Students [Public School] 1994-95,White Students [Public School] 1993-94,White Students [Public School] 1992-93,White Students [Public School] 1991-92,Total General Revenue (TOTALREV) [District Finance] 1995-96,Total General Revenue (TOTALREV) [District Finance] 1994-95,Total General Revenue (TOTALREV) [District Finance] 1991-92,Total Expenditures (TOTALEXP) [District Finance] 1995-96,Total Expenditures (TOTALEXP) [District Finance] 1994-95,Total Expenditures (TOTALEXP) [District Finance] 1991-92,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1995-96,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1994-95,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 1991-92,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1995-96,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1994-95,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 1991-92,Total Current Expenditures - Non El-Sec Programs (TNONELSE) per Pupil (V33) [District Finance] 1995-96,Total Current Expenditures (TCURELSC) per Pupil (V33) [District Finance] 1995-96
AVERY ISD,Texas,4809060,RED RIVER,3,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,344,366,363,326,340,69,72,69,54,49,2,3,4,4,4,0,0,0,0,0,17,15,13,13,16,26,27,24,23,26,299,321,325,286,294,2252000,2241000,1770000,2312000,2329000,1381000,6547,6123,5206,6721,6363,4062,0,6044
AVINGER ISD,Texas,4809090,CASS,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,190,177,190,188,212,30,28,29,31,26,0,2,1,2,2,0,0,0,2,0,6,6,7,5,4,54,44,48,42,58,130,125,134,137,148,1361000,1307000,1257000,1436000,1282000,1149000,7163,7384,5929,7558,7243,5420,0,6479
AXTELL ISD,Texas,4809150,MCLENNAN,4,4,5,5,5,2-Midsize city,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,692,639,793,745,722,253,235,363,320,328,2,2,5,3,1,0,0,0,1,1,42,34,59,65,68,46,45,58,58,53,602,558,671,618,599,5412000,4451000,6225000,3067000,3029000,6349000,7821,6966,8622,4415,4731,8794,0,3642
AZLE ISD,Texas,4809200,TARRANT,8,8,8,7,7,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,3-Urban fringe of large city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,5591,5353,5233,5203,5177,848,767,754,664,625,26,18,14,16,14,19,25,24,22,20,225,200,172,164,150,44,48,53,46,39,5277,5062,4985,4955,4950,29730000,24582000,20764000,25368000,22207000,18471000,5317,4592,4011,4520,4137,3568,16,4248
BAIRD ISD,Texas,4809280,CALLAHAN,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,478,492,497,484,505,66,67,77,72,74,1,1,1,1,1,5,5,6,6,6,69,78,70,52,47,0,0,0,0,0,403,408,420,425,450,2781000,2748000,2653000,2554000,2963000,2475000,5818,5585,5253,5343,6022,4901,0,5322
BALLINGER ISD,Texas,4809300,RUNNELS,4,4,5,4,4,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1238,1220,1221,1185,1207,145,143,144,145,149,0,0,1,0,0,0,0,1,1,1,427,407,422,399,395,35,31,29,24,19,776,782,776,761,782,8445000,6684000,6463000,7592000,6163000,8577000,6821,5479,5355,6132,5052,7106,29,5324
BALMORHEA ISD,Texas,4809330,REEVES,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,221,241,239,246,237,37,33,26,26,20,0,0,1,0,0,0,0,0,0,0,179,201,208,208,204,1,0,0,0,0,41,40,30,38,33,2203000,2293000,1709000,1986000,1965000,1531000,9968,9515,7211,8986,8154,6460,14,8127
BANDERA ISD,Texas,4809360,BANDERA,4,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2101,1906,1734,1606,1475,240,229,195,185,160,3,3,4,1,1,0,1,0,0,2,342,315,282,254,231,6,7,9,10,11,1750,1580,1439,1341,1230,12221000,10319000,6904000,11536000,12196000,5952000,5817,5414,4681,5491,6399,4035,0,4535
BANGS ISD,Texas,4809390,BROWN,7,4,4,4,4,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,994,973,936,899,859,160,130,118,112,98,4,3,4,4,5,0,0,0,1,1,105,97,93,98,95,73,62,67,75,82,812,811,774,721,675,6470000,5533000,4507000,5465000,4922000,4359000,6509,5687,5247,5498,5059,5075,0,5050
BANQUETE ISD,Texas,4809410,NUECES,3,3,3,4,4,3-Urban fringe of large city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,882,888,832,820,840,89,86,73,79,73,0,0,0,0,0,0,0,0,0,0,648,649,605,594,592,2,0,1,1,3,232,239,226,225,245,5753000,5907000,4957000,5353000,5034000,4515000,6523,6652,5901,6069,5669,5375,20,5637
BARBERS HILL ISD,Texas,4809450,CHAMBERS,4,4,4,4,4,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2184,2084,1946,1858,1759,241,223,204,185,161,5,5,1,2,1,7,5,3,3,2,200,167,120,111,100,59,56,59,58,59,1913,1851,1766,1684,1594,28262000,25768000,14430000,25777000,13153000,21179000,12940,12365,8204,11803,6311,12040,86,5993
BARTLETT ISD,Texas,4809540,BELL,2,2,2,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,565,529,504,443,418,96,88,87,71,61,1,0,0,0,0,1,0,1,1,1,208,202,175,144,146,105,97,92,76,77,250,230,236,222,194,3502000,2983000,2188000,3377000,2884000,2184000,6198,5639,5234,5940,5384,5225,0,5028
BASTROP ISD,Texas,4809570,BASTROP,9,9,8,7,7,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,5338,5016,4725,4439,4299,696,632,566,522,509,42,40,40,28,25,22,79,24,7,9,1304,1165,1079,1012,973,537,443,474,476,494,3433,3289,3116,2916,2793,31551000,28309000,20246000,34505000,29001000,19230000,5911,5644,4709,6457,5776,4473,13,4956
BAY CITY ISD,Texas,4809630,MATAGORDA,7,7,7,7,7,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,4827,4804,4853,4776,4843,673,625,580,512,473,3,2,2,4,6,42,45,49,55,58,1685,1686,1671,1572,1563,935,866,868,831,824,2162,2205,2269,2314,2388,24410000,22965000,19057000,23673000,22307000,18279000,5057,4780,3935,4904,4643,3774,30,4718
BEAUMONT ISD,Texas,4809670,JEFFERSON,34,34,34,37,37,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,2-Midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,19938,20057,20258,20383,20546,2643,2470,2325,2146,2052,30,23,23,28,19,498,494,493,476,403,1155,1006,942,885,783,12911,12884,12781,12554,12550,5344,5650,6050,6440,6756,122181000,113984000,93968000,113590000,112689000,94093000,6128,5683,4574,5691,5611,4580,57,5162
BECKVILLE ISD,Texas,4809690,PANOLA,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,459,486,486,508,560,108,100,91,79,81,0,0,0,0,0,7,4,4,0,0,13,13,10,11,8,75,85,68,65,78,364,384,404,432,474,5298000,5354000,3142000,5055000,3995000,2729000,11542,11016,5611,11013,8220,4873,0,7401
BEEVILLE ISD,Texas,4809720,BEE,8,8,7,7,7,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,4305,4288,4053,4150,4239,606,602,566,527,498,4,4,1,2,1,24,23,25,29,33,2932,2936,2814,2764,2769,151,125,98,125,159,1194,1200,1126,1230,1275,27088000,23211000,19543000,24805000,21886000,20623000,6292,5413,4610,5751,5078,4865,181,5003
BELLEVUE ISD,Texas,4809750,CLAY,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,165,165,172,188,180,21,24,27,22,20,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,164,163,170,187,180,1166000,1107000,1133000,1221000,1105000,1048000,7067,6709,6294,7400,6697,5822,0,7121
BELLS ISD,Texas,4809780,GRAYSON,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,764,732,679,647,583,139,128,116,122,99,1,2,0,0,1,0,0,0,0,1,8,3,1,2,2,3,1,1,0,0,752,726,677,645,579,5174000,3891000,3048000,5139000,3380000,2846000,6772,5316,5228,6726,4617,4882,0,5001
BELLVILLE ISD,Texas,4809810,AUSTIN,5,4,4,4,4,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,2048,1991,1933,1903,1777,201,179,160,156,148,2,3,2,1,0,3,2,0,0,0,218,180,170,152,143,287,301,316,329,320,1538,1505,1446,1421,1310,10944000,10075000,8348000,10547000,8665000,7285000,5344,5060,4698,5148,4351,4100,0,4341
BELTON ISD,Texas,4809860,BELL,10,10,9,8,8,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,6180,6110,5837,5495,5247,657,576,522,447,441,33,35,35,30,24,32,32,36,33,39,1279,1200,1139,1076,1022,326,322,322,296,269,4510,4521,4306,4060,3891,34416000,29495000,23284000,32716000,32407000,21517000,5569,4827,4438,5293,5303,4101,29,4633
BEN BOLT-PALITO BLANCO ISD,Texas,4809870,JIM WELLS,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,526,504,460,400,405,83,72,69,43,59,0,0,0,0,0,1,0,1,0,0,489,463,419,358,366,0,0,0,0,0,36,41,40,42,39,3767000,3237000,2771000,3874000,3244000,2638000,7162,6423,6842,7365,6437,6514,8,6597
BENAVIDES ISD,Texas,4899130,DUVAL,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,590,617,635,640,661,56,62,60,46,46,0,0,0,0,0,0,0,0,0,0,580,609,628,634,653,0,0,0,0,0,10,8,7,6,8,4989000,5616000,4882000,4805000,5838000,4935000,8456,9102,7386,8144,9451,7466,37,7953
BENJAMIN ISD,Texas,4809980,KNOX,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,104,101,94,91,80,15,14,17,17,11,0,0,0,0,0,0,0,0,0,0,24,15,16,17,11,0,0,0,0,0,80,86,78,74,67,1044000,941000,652000,960000,880000,623000,10038,9317,8150,9192,8713,7788,0,8173
BIG SANDY ISD,Texas,4810170,POLK,1,1,1,1,1,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,378,386,402,388,373,75,76,68,67,53,80,83,79,91,90,0,0,0,0,0,6,6,2,4,2,2,0,0,0,0,290,297,321,293,281,3765000,2509000,1857000,2374000,2043000,1466000,9960,6500,4979,6280,5293,3930,0,5601
BIG SANDY ISD,Texas,4810140,UPSHUR,3,3,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,736,727,752,721,739,97,86,83,81,80,0,0,0,1,0,0,3,1,0,1,21,26,22,28,32,124,119,130,106,115,591,579,600,586,591,4286000,3931000,3764000,4093000,3539000,4022000,5823,5407,5093,5543,4851,5442,0,5196
BIG SPRING ISD,Texas,4810200,HOWARD,12,12,12,12,12,6-Small town,6-Small town,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,4480,4553,4566,4588,4735,480,424,420,431,423,7,14,18,15,17,21,18,20,21,26,2057,2043,2005,1931,1946,266,258,280,264,259,2129,2220,2243,2357,2487,23524000,23019000,20624000,23068000,21883000,18660000,5251,5056,4356,5147,4805,3941,0,4837
BIRDVILLE ISD,Texas,4810230,TARRANT,34,33,34,34,32,3-Urban fringe of large city,1-Large city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,4-Urban fringe of midsize city,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,20129,19735,19662,19447,19022,3220,3134,3110,2849,2541,48,43,46,48,33,970,919,894,831,746,2104,1852,1706,1642,1518,527,483,442,403,372,16480,16438,16574,16523,16256,110557000,107538000,84430000,110037000,106584000,82309000,5492,5449,4439,5467,5401,4327,0,4684
BISHOP CISD,Texas,4810260,NUECES,4,4,4,4,4,3-Urban fringe of large city,3-Urban fringe of large city,6-Small town,6-Small town,6-Small town,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,1445,1431,1495,1437,1449,174,153,135,114,110,1,2,0,0,0,0,0,0,0,0,968,951,1007,954,966,33,21,22,23,19,443,457,466,460,463,10324000,10052000,6699000,15987000,10169000,6313000,7145,7024,4623,10944,7022,4357,6,5505
BLACKWELL CISD,Texas,4800005,NOLAN,1,2,3,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,187,174,174,159,174,60,49,44,37,40,2,0,0,0,0,0,0,0,0,0,48,44,46,42,43,0,0,0,0,1,137,130,132,117,130,1717000,1927000,1366000,1544000,1480000,1257000,9182,11075,7851,8257,8506,7224,0,7936
BLANCO ISD,Texas,4810320,BLANCO,3,3,3,3,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,855,816,719,693,656,164,145,100,89,79,2,4,4,0,0,2,3,2,6,7,224,205,180,177,165,18,16,14,17,10,609,588,519,493,474,5635000,5002000,4724000,5300000,4617000,5198000,6591,6130,7201,6199,5658,7924,13,5239
BLAND ISD,Texas,4810350,HUNT,2,2,2,2,2,3-Urban fringe of large city,3-Urban fringe of large city,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,433,436,408,369,345,89,88,91,94,76,0,0,2,1,1,3,3,2,1,0,21,18,19,18,15,0,0,1,1,2,409,415,384,348,327,2612000,2560000,1898000,2704000,3149000,1504000,6032,5872,5501,6245,7222,4359,2,5139
BLANKET ISD,Texas,4810380,BROWN,4,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,220,221,168,198,169,52,55,29,29,25,0,0,0,0,0,0,0,0,0,0,40,40,23,31,20,3,3,0,0,0,177,178,146,167,149,2064000,1506000,1013000,1572000,1309000,949000,9382,6814,5994,7145,5923,5615,0,5609
BLEDSOE ISD,Texas,4810410,COCHRAN,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,6-Small town,6-Small town,6-Small town,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,20,30,29,38,40,3,4,2,3,4,0,0,0,0,0,0,0,0,0,0,10,14,13,22,26,0,0,0,0,0,10,16,16,16,14,612000,679000,556000,587000,523000,421000,30600,22633,13900,25150,17433,10525,0,25100
BLOOMBURG ISD,Texas,4810440,CASS,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,237,240,214,216,224,51,62,39,45,36,3,1,3,1,1,0,0,0,0,0,5,5,0,0,0,18,16,21,20,20,211,218,190,195,203,1897000,1751000,1259000,1551000,1422000,1057000,8004,7296,5621,6544,5925,4719,21,6080
BLOOMING GROVE ISD,Texas,4810470,NAVARRO,3,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,750,719,721,696,655,105,101,93,83,67,0,0,1,0,0,2,2,1,1,1,49,43,36,36,29,41,41,41,48,42,658,633,642,611,583,5026000,4581000,3649000,4050000,3505000,2822000,6701,6371,5571,5400,4875,4308,0,4817
BLOOMINGTON ISD,Texas,4810500,VICTORIA,3,3,3,3,3,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,928,930,908,937,907,169,163,153,139,141,0,0,0,0,0,0,0,0,0,0,661,634,597,598,574,35,37,48,51,47,232,259,263,288,286,6311000,5672000,4727000,5662000,5832000,4316000,6801,6099,5212,6101,6271,4759,17,6004
BLUE RIDGE ISD,Texas,4810590,COLLIN,3,3,3,3,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,432,434,410,428,443,75,65,57,59,66,1,0,1,1,0,0,1,1,0,0,22,22,27,21,22,2,3,1,2,2,407,408,383,404,416,2855000,2472000,2270000,3105000,3112000,2207000,6609,5696,5124,7181,7166,4982,0,5880
BLUFF DALE ISD,Texas,4810620,ERATH,1,1,1,1,1,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,01-Elementary school system only,01-Elementary school system only,01-Elementary school system only,88,68,72,62,65,18,17,14,8,8,1,1,0,0,0,0,0,0,0,0,3,2,5,7,7,3,2,0,0,0,81,63,67,55,58,541000,463000,371000,528000,502000,313000,6148,6809,5708,6000,7382,4815,0,5398
BLUM ISD,Texas,4810650,HILL,2,2,2,2,2,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,7-Rural - outside CBSA/MSA,03-Elementary/secondary school system,03-Elementary/secondary school system,03-Elementary/secondary school system,267,288,270,281,273,45,41,38,35,31,0,0,0,0,0,0,0,0,0,0,23,27,22,21,24,7,7,4,0,0,237,254,244,260,249,1761000,1699000,1438000,1743000,1571000,1200000,6596,5899,5267,6524,5451,4396,0,6037
